song,artist,genre,mood,tempo,energy
星之火～awake～,陈乐一,Mandopop,Chill,Medium,Medium
来日方长,默默酱,Mandopop,Chill,Medium,Medium
朝汐,双笙 (陈元汐) / 泠鸢yousa,Mandopop,Chill,Medium,Medium
夭夭,泠鸢yousa / 琉绮Ruki / 七海Nanami,Mandopop,Chill,Medium,Medium
桃花笑-泠鸢,泠鸢yousa,Mandopop,Chill,Medium,Medium
心生七面 善恶难辨,三无Marblue,Mandopop,Chill,Medium,Medium
惊鹊,三无Marblue / hanser,Mandopop,Chill,Medium,Medium
别,玄觞,Mandopop,Chill,Medium,Medium
花月成双,三无Marblue,Mandopop,Chill,Medium,Medium
星如雨,龚淑均 / 薄彩生,Mandopop,Chill,Medium,Medium
初心,潘辰,Mandopop,Chill,Medium,Medium
无念,银临,Mandopop,Chill,Medium,Medium
拾忆长安,段奥娟,Mandopop,Chill,Medium,Medium
一念永恒,GAI周延,Mandopop,Chill,Medium,Medium
不疑,泥鳅Niko / 三畿道 / 杨秉音,Mandopop,Chill,Medium,Medium
大雾,怜悦,Mandopop,Chill,Medium,Medium
繁华唱遍,泠鸢yousa,Mandopop,Chill,Medium,Medium
大喜,泠鸢yousa / 音阙诗听,Mandopop,Chill,Medium,Medium
吉祥话,hanser / 泠鸢yousa / 祖娅纳惜 / 鹿乃 (かの),Mandopop,Chill,Medium,Medium
默默酱-大鱼,默默酱,Mandopop,Chill,Medium,Medium
柠檬精之歌【默默酱】,默默酱,Mandopop,Chill,Medium,Medium
默默酱-勾指起誓,默默酱,Mandopop,Chill,Medium,Medium
破茧,张韶涵,Mandopop,Energetic,Fast,High
栖凰,三无Marblue,Mandopop,Chill,Medium,Medium
青鸟衔风,三无Marblue / hanser,Mandopop,Chill,Medium,Medium
晴空一尾鲤,hanser,Mandopop,Chill,Medium,Medium
千里邀月,hanser / 三无Marblue / 泠鸢yousa / 茶理理理子,Mandopop,Chill,Medium,Medium
1001夜,KBShinya / hanser,Mandopop,Dark,Medium,High
谜,Kaya,Mandopop,Chill,Medium,Medium
人间不值得,大柯,Mandopop,Chill,Medium,Medium
殿书,奇然,Mandopop,Chill,Medium,Medium
鱼玄机,hanser,Mandopop,Chill,Medium,Medium
湘桥月,银临 / 鸦青,Mandopop,Chill,Medium,Medium
芙蓉雨,刘珂矣,Mandopop,Chill,Medium,Medium
横竖撇点折,米白,Mandopop,Chill,Medium,Medium
入画,排骨教主,Mandopop,Chill,Medium,Medium
江山行歌,国风堂,Mandopop,Chill,Medium,Medium
勾指起誓 (COVER版),泠鸢yousa,Mandopop,Chill,Medium,Medium
空山新雨后,音阙诗听 / 锦零,Mandopop,Chill,Medium,Medium
长安巷,排骨教主,Mandopop,Chill,Medium,Medium
棠梨煎雪,银临,Mandopop,Chill,Medium,Medium
落（我拈来一缕春风）,艾辰,Mandopop,Chill,Medium,Medium
腐草为萤,排骨教主 / 双笙 (陈元汐),Mandopop,Chill,Medium,Medium
庐州月,许嵩,Mandopop,Emotional,Medium,Medium
无聊,西瓜JUN,Mandopop,Chill,Medium,Medium
藏,徐梦圆 / 双笙 (陈元汐),Mandopop,Chill,Medium,Medium
芊芊,回音哥,Mandopop,Chill,Medium,Medium
清明雨上,许嵩,Mandopop,Emotional,Medium,Medium
杏花弦外雨,CRITTY / 司夏,Mandopop,Chill,Medium,Medium
红妆,排骨教主,Mandopop,Chill,Medium,Medium
寄明月,SING女团,Mandopop,Chill,Medium,Medium
长生诀,排骨教主,Mandopop,Chill,Medium,Medium
飞过时间的海,SING女团,Mandopop,Chill,Medium,Medium
流光记,银临,Mandopop,Chill,Medium,Medium
芒种,音阙诗听 / 赵方婧,Mandopop,Chill,Medium,Medium
一话一世界,雪霏岚岚 / 早木旋子 / 张小她 / 倒悬的橘子,Mandopop,Chill,Medium,Medium
少侠不用刀,双笙 (陈元汐),Mandopop,Chill,Medium,Medium
红昭愿,音阙诗听,Mandopop,Chill,Medium,Medium
采茶纪,双笙 (陈元汐),Mandopop,Chill,Medium,Medium
神谕法则,SING女团,Mandopop,Chill,Medium,Medium
体温,末吉秀太,Mandopop,Chill,Medium,Medium
与你同行~B With U~,华语群星,Mandopop,Chill,Medium,Medium
琵琶行,奇然 / 沈谧仁,Mandopop,Chill,Medium,Medium
交织together,泠鸢yousa,Mandopop,Chill,Medium,Medium
团团圆圆,洛天依 / 乐正绫 / 言和 / 心华,Mandopop,Chill,Medium,Medium
牵丝戏,银临 / Aki阿杰,Mandopop,Chill,Medium,Medium
山有木兮,橙光音乐,Mandopop,Chill,Medium,Medium
典狱司,音频怪物,Mandopop,Dark,Medium,High
明月天涯,五音Jw,Mandopop,Chill,Medium,Medium
锦鲤抄,银临 / 云之泣,Mandopop,Chill,Medium,Medium
倾尽天下,河图,Mandopop,Chill,Medium,Medium
不老梦,银临,Mandopop,Chill,Medium,Medium
知否知否,胡夏 / 郁可唯,Mandopop,Chill,Medium,Medium
千年,SING女团,Mandopop,Chill,Medium,Medium
霜雪千年,排骨教主,Mandopop,Chill,Medium,Medium
庸人自扰,排骨教主,Mandopop,Chill,Medium,Medium
惊鸿一面,许嵩 / 黄龄,Mandopop,Emotional,Medium,Medium
风筝误,刘珂矣,Mandopop,Chill,Medium,Medium
落空,印子月,Mandopop,Chill,Medium,Medium
繁星,SING女团,Mandopop,Chill,Medium,Medium
柒月,SING女团,Mandopop,Chill,Medium,Medium
如梦令,SING女团,Mandopop,Chill,Medium,Medium
秋风辞,SING女团,Mandopop,Chill,Medium,Medium
夜笙歌,SING女团,Mandopop,Dark,Medium,High
云裳谣,SING女团,Mandopop,Chill,Medium,Medium
泼墨漓江,泠鸢yousa,Mandopop,Chill,Medium,Medium
外婆桥,泠鸢yousa,Mandopop,Chill,Medium,Medium
离人殇,赵方婧 / 音阙诗听,Mandopop,Chill,Medium,Medium
轮回之境,CRITTY,Mandopop,Chill,Medium,Medium
倾杯,SING女团,Mandopop,Chill,Medium,Medium
北京巷弄,徐良,Mandopop,Chill,Medium,Medium
儿时,刘昊霖,Mandopop,Chill,Medium,Medium
黑白小巷,少司命,Mandopop,Dark,Medium,High
神勇哥,乔洋,Mandopop,Chill,Medium,Medium
唐人,孙子涵,Mandopop,Chill,Medium,Medium
九九八十一 (柔情版),叶洛洛 / 西瓜JUN / 泥鳅Niko / 知性的小方块,Mandopop,Chill,Medium,Medium
琼花房,胡碧乔,Mandopop,Chill,Medium,Medium
诗话小镇,CRITTY / 潇梦临,Mandopop,Chill,Medium,Medium
桃花现,左健,Mandopop,Chill,Medium,Medium
遇萤,橙光音乐,Mandopop,Chill,Medium,Medium
半壶纱,刘珂矣,Mandopop,Chill,Medium,Medium
愿望,胡彦斌,Mandopop,Chill,Medium,Medium
小城谣,泥鳅Niko / 翘课迟到少恭桑,Mandopop,Chill,Medium,Medium
蝴蝶,胡彦斌,Mandopop,Chill,Medium,Medium
那天下雨了,周杰伦,Mandopop,Romantic,Medium,Medium
西西里,周杰伦,Mandopop,Romantic,Medium,Medium
青花瓷,周杰伦,Mandopop,Romantic,Medium,Medium
红尘客栈,周杰伦,Mandopop,Romantic,Medium,Medium
爱琴海,周杰伦,Mandopop,Romantic,Medium,Medium
兰亭序,周杰伦,Mandopop,Romantic,Medium,Medium
枫,周杰伦,Mandopop,Romantic,Medium,Medium
Always Online,林俊杰,Mandopop,Romantic,Medium,Medium
美人鱼,林俊杰,Mandopop,Romantic,Medium,Medium
我对缘分小心翼翼,林俊杰,Mandopop,Romantic,Medium,Medium
愿与愁,林俊杰,Mandopop,Romantic,Medium,Medium
新地球,林俊杰,Mandopop,Romantic,Medium,Medium
不潮不用花钱,林俊杰,Mandopop,Romantic,Medium,Medium
我还想她,林俊杰,Mandopop,Romantic,Medium,Medium
黑夜问白天,林俊杰,Mandopop,Dark,Medium,High
最佳损友,陈奕迅,Mandopop,Sad,Medium,Medium
十面埋伏,陈奕迅,Mandopop,Sad,Medium,Medium
单车,陈奕迅,Mandopop,Sad,Medium,Medium
不要说话,陈奕迅,Mandopop,Sad,Medium,Medium
孤独患者,陈奕迅,Mandopop,Sad,Slow,Low
葡萄成熟时,陈奕迅,Mandopop,Sad,Medium,Medium
聊表心意,薛之谦 / 刘惜君,Mandopop,Sad,Slow,Medium
天外来物,薛之谦,Mandopop,Sad,Slow,Medium
其实,薛之谦,Mandopop,Sad,Slow,Medium
占有 (Live),周深 / 薛之谦,Mandopop,Sad,Slow,Medium
我好像在哪见过你,薛之谦,Mandopop,Sad,Slow,Medium
下雨了,薛之谦,Mandopop,Sad,Slow,Medium
刚刚好,薛之谦,Mandopop,Sad,Slow,Medium
霸王别姬,薛之谦 / 张靓颖,Mandopop,Sad,Slow,Medium
陪你去流浪,薛之谦,Mandopop,Sad,Slow,Medium
人字拖,薛之谦,Mandopop,Sad,Slow,Medium
暧昧,薛之谦,Mandopop,Sad,Slow,Medium
霸王别姬,薛之谦、张靓颖,Mandopop,Sad,Slow,Medium
聊表心意,刘惜君、薛之谦,Mandopop,Sad,Slow,Medium
你还要我怎样,薛之谦,Mandopop,Sad,Slow,Medium
租购,薛之谦,Mandopop,Sad,Slow,Medium
意外,薛之谦,Mandopop,Sad,Slow,Medium
多远都要在一起,G.E.M. 邓紫棋,Mandopop,Energetic,Medium,High
唯一,G.E.M. 邓紫棋,Mandopop,Energetic,Medium,High
喜欢你,G.E.M. 邓紫棋,Mandopop,Romantic,Medium,Medium
泡沫,G.E.M. 邓紫棋,Mandopop,Energetic,Medium,High
句号,G.E.M. 邓紫棋,Mandopop,Energetic,Medium,High
光年之外,G.E.M. 邓紫棋,Mandopop,Energetic,Medium,High
倒数,G.E.M. 邓紫棋,Mandopop,Energetic,Medium,High
桃花诺,G.E.M. 邓紫棋,Mandopop,Energetic,Medium,High
再见,G.E.M. 邓紫棋,Mandopop,Sad,Slow,Low
Where Did U Go,G.E.M. 邓紫棋,Mandopop,Energetic,Medium,High
来自天堂的魔鬼,G.E.M. 邓紫棋,Mandopop,Dark,Medium,High
我的秘密,G.E.M. 邓紫棋,Mandopop,Energetic,Medium,High
五月天,S.H.E,Mandopop,Chill,Medium,Medium
如果我们不曾相遇,五月天,Rock,Sad,Fast,Medium
步步,五月天,Rock,Sad,Fast,Medium
我不愿 让你一个人,五月天,Rock,Sad,Fast,Medium
离开地球表面,五月天,Rock,Sad,Fast,Medium
带我去找夜生活,告五人,Indie,Dark,Medium,High
爱人错过,告五人,Indie,Romantic,Medium,Medium
唯一,告五人,Indie,Romantic,Medium,Medium
给你一瓶魔法药水,告五人,Indie,Romantic,Medium,Medium
我想要占据你,告五人,Indie,Romantic,Medium,Medium
温蒂公主的侍卫,告五人,Indie,Romantic,Medium,Medium
披星戴月的想你,告五人,Indie,Romantic,Medium,Medium
法兰西多士,告五人,Indie,Romantic,Medium,Medium
好不容易,告五人,Indie,Romantic,Medium,Medium
爱在夏天,告五人,Indie,Romantic,Medium,Medium
红,告五人,Indie,Romantic,Medium,Medium
愈合,告五人,Indie,Romantic,Medium,Medium
丑人多作怪,告五人,Indie,Dark,Medium,High
从未见过的海,告五人,Indie,Romantic,Medium,Medium
一程山路,毛不易,Folk,Sad,Slow,Low
无名的人,毛不易,Folk,Sad,Slow,Low
东北民谣,毛不易,Folk,Sad,Slow,Low
牧马城市,毛不易,Folk,Sad,Slow,Low
借,毛不易,Folk,Sad,Slow,Low
呓语,毛不易,Folk,Sad,Slow,Low
不染,毛不易,Folk,Sad,Slow,Low
一荤一素,毛不易,Folk,Sad,Slow,Low
看得最远的地方,毛不易,Folk,Sad,Slow,Low
如果有一天我变得很有钱,毛不易,Folk,Sad,Slow,Low
幻听,许嵩,Mandopop,Emotional,Medium,Medium
如果当时,许嵩,Mandopop,Emotional,Medium,Medium
素颜,许嵩 / 何曼婷,Mandopop,Emotional,Medium,Medium
天龙八部之宿敌,许嵩,Mandopop,Emotional,Medium,Medium
有何不可,许嵩,Mandopop,Emotional,Medium,Medium
多余的解释,许嵩,Mandopop,Emotional,Medium,Medium
玫瑰花的葬礼,许嵩,Mandopop,Emotional,Medium,Medium
灰色头像,许嵩,Mandopop,Emotional,Medium,Medium
断桥残雪,许嵩,Mandopop,Emotional,Medium,Medium
素颜,许嵩、何曼婷,Mandopop,Emotional,Medium,Medium
惊鸿一面,许嵩、黄龄,Mandopop,Emotional,Medium,Medium
后会无期,徐良 / 汪苏泷,Mandopop,Romantic,Medium,Medium
有点甜,汪苏泷 / BY2,Mandopop,Romantic,Medium,Medium
晴,汪苏泷,Mandopop,Romantic,Medium,Medium
左转灯 (1000 Times +1) (Live),汪苏泷 / Eric周兴哲,Mandopop,Romantic,Medium,Medium
问你一个人类梦寐以求的深奥问题,汪苏泷,Mandopop,Romantic,Medium,Medium
不分手的恋爱,汪苏泷,Mandopop,Romantic,Medium,Medium
一笑倾城,汪苏泷,Mandopop,Romantic,Medium,Medium
像晴天像雨天,汪苏泷,Mandopop,Romantic,Medium,Medium
我想念,汪苏泷,Mandopop,Romantic,Medium,Medium
如果爱忘了 (Live),汪苏泷 / 单依纯,Mandopop,Romantic,Medium,Medium
小星星,汪苏泷,Mandopop,Romantic,Medium,Medium
1424,汪苏泷,Mandopop,Romantic,Medium,Medium
如果爱忘了,汪苏泷、单依纯,Mandopop,Romantic,Medium,Medium
有点甜,汪苏泷、BY2,Mandopop,Romantic,Medium,Medium
后会无期,汪苏泷、徐良,Mandopop,Romantic,Medium,Medium
还给你一些孤单,汪苏泷,Mandopop,Romantic,Medium,Medium
Letting Go,汪苏泷、吉克隽逸,Mandopop,Romantic,Medium,Medium
天下,张杰,Mandopop,Energetic,Medium,High
他不懂,张杰,Mandopop,Energetic,Medium,High
明天过后,张杰,Mandopop,Energetic,Medium,High
这，就是爱,张杰,Mandopop,Romantic,Medium,Medium
三生三世,张杰,Mandopop,Energetic,Medium,High
逆战,张杰,Mandopop,Energetic,Medium,High
着魔,张杰,Mandopop,Energetic,Medium,High
铭记,张杰,Mandopop,Energetic,Medium,High
千万次想象,张杰,Mandopop,Energetic,Medium,High
最美的太阳,张杰,Mandopop,Energetic,Medium,High
少年中国说,张杰,Mandopop,Energetic,Fast,High
想见你想见你想见你,张杰,Mandopop,Energetic,Medium,High
Come What May,王力宏,Mandopop,Romantic,Medium,Medium
爱错,王力宏,Mandopop,Romantic,Medium,Medium
你不知道的事,王力宏,Mandopop,Romantic,Medium,Medium
缘分一道桥,王力宏 / 谭维维,R&B,Romantic,Medium,Medium
天地龙鳞,王力宏,Mandopop,Romantic,Medium,Medium
花田错,王力宏,Mandopop,Romantic,Medium,Medium
心中的日月,王力宏,Mandopop,Romantic,Medium,Medium
火力全开,王力宏,Mandopop,Romantic,Medium,Medium
好心分手,王力宏、卢巧音,R&B,Romantic,Medium,Medium
缘分一道桥,王力宏、谭维维,R&B,Romantic,Medium,Medium
普通朋友,陶喆,R&B,Chill,Medium,Medium
爱我还是他,陶喆,R&B,Romantic,Medium,Medium
蝴蝶,陶喆,R&B,Chill,Medium,Medium
就是爱你,陶喆,R&B,Romantic,Medium,Medium
天天,陶喆,R&B,Chill,Medium,Medium
爱，很简单,陶喆,R&B,Romantic,Medium,Medium
Melody,陶喆,R&B,Chill,Medium,Medium
讨厌红楼梦,陶喆,R&B,Chill,Medium,Medium
二十二,陶喆,R&B,Chill,Medium,Medium
找自己,陶喆,R&B,Chill,Medium,Medium
流沙,陶喆,R&B,Chill,Medium,Medium
小镇姑娘,陶喆,R&B,Chill,Medium,Medium
飞机场的10:30,陶喆,R&B,Chill,Medium,Medium
今天你要嫁给我,陶喆、蔡依林,R&B,Chill,Medium,Medium
恋人,李荣浩,Mandopop,Romantic,Medium,Medium
老街,李荣浩,Mandopop,Emotional,Medium,Medium
不遗憾,李荣浩,Mandopop,Sad,Slow,Low
模特,李荣浩,Mandopop,Emotional,Medium,Medium
戒烟,李荣浩,Mandopop,Emotional,Medium,Medium
李白,李荣浩,Mandopop,Emotional,Medium,Medium
走走,李荣浩,Mandopop,Emotional,Medium,Medium
慢冷 (Live),李荣浩,Mandopop,Emotional,Medium,Medium
喜剧之王,李荣浩,Mandopop,Emotional,Medium,Medium
爸爸妈妈,李荣浩,Mandopop,Emotional,Medium,Medium
乌梅子酱,李荣浩,Mandopop,Emotional,Medium,Medium
不将就,李荣浩,Mandopop,Emotional,Medium,Medium
慢冷,李荣浩,Mandopop,Emotional,Medium,Medium
无人知晓,田馥甄,Mandopop,Romantic,Medium,Medium
魔鬼中的天使,田馥甄,Mandopop,Dark,Medium,High
寂寞寂寞就好,田馥甄,Mandopop,Romantic,Medium,Medium
只对你有感觉,飞轮海 / 田馥甄,Mandopop,Emotional,Medium,Medium
还是要幸福,田馥甄,Mandopop,Romantic,Medium,Medium
刻在我心底的名字 (Live),蔡依林 / 田馥甄,Mandopop,Emotional,Medium,Medium
My Love,田馥甄,Mandopop,Romantic,Medium,Medium
悬日,田馥甄,Mandopop,Romantic,Medium,Medium
灵魂伴侣,田馥甄,Mandopop,Romantic,Medium,Medium
讽刺的情书,田馥甄,Mandopop,Romantic,Medium,Medium
只对你有感觉,飞轮海、田馥甄,Mandopop,Emotional,Medium,Medium
不醉不会,田馥甄,Mandopop,Romantic,Medium,Medium
我想我不会爱你,田馥甄,Mandopop,Romantic,Medium,Medium
魔鬼中的天使,韩红、田馥甄,Mandopop,Dark,Medium,High
爱了很久的朋友,田馥甄,Mandopop,Romantic,Medium,Medium
我不难过,孙燕姿,Pop,Energetic,Medium,High
开始懂了,孙燕姿,Pop,Energetic,Medium,High
我怀念的,孙燕姿,Pop,Energetic,Medium,High
遇见,孙燕姿,Pop,Energetic,Medium,High
天黑黑,孙燕姿,Pop,Dark,Medium,High
雨天,孙燕姿,Pop,Energetic,Medium,High
半句再见,孙燕姿,Pop,Sad,Slow,Low
逆光,孙燕姿,Pop,Energetic,Medium,High
绿光,孙燕姿,Pop,Energetic,Medium,High
眼泪成诗,孙燕姿,Pop,Sad,Slow,Low
当冬夜渐暖,孙燕姿,Pop,Dark,Medium,High
第一天,孙燕姿,Pop,Energetic,Medium,High
原来你什么都不要,孙燕姿,Pop,Energetic,Medium,High
情歌,梁静茹,Mandopop,Romantic,Medium,Medium
勇气,梁静茹,Mandopop,Romantic,Medium,Medium
会呼吸的痛,梁静茹,Mandopop,Romantic,Medium,Medium
给未来的自己,梁静茹,Mandopop,Romantic,Medium,Medium
暖暖,梁静茹,Mandopop,Romantic,Medium,Medium
可惜不是你,梁静茹,Mandopop,Romantic,Medium,Medium
慢冷,梁静茹,Mandopop,Romantic,Medium,Medium
问,梁静茹,Mandopop,Romantic,Medium,Medium
宁夏,梁静茹,Mandopop,Romantic,Medium,Medium
分手快乐,梁静茹,Mandopop,Romantic,Medium,Medium
爱久见人心,梁静茹,Mandopop,Romantic,Medium,Medium
夜夜夜夜,梁静茹,Mandopop,Dark,Medium,High
听海,张惠妹,Pop,Emotional,Medium,High
如果你也听说,张惠妹,Pop,Emotional,Medium,High
不该,周杰伦、张惠妹,Mandopop,Nostalgic,Medium,Medium
我可以抱你吗,张惠妹,Pop,Emotional,Medium,High
连名带姓,张惠妹,Pop,Emotional,Medium,High
我最亲爱的,张惠妹,Pop,Romantic,Medium,Medium
Bad Boy,张惠妹,Pop,Dark,Medium,High
记得,张惠妹,Pop,Emotional,Medium,High
哭不出来,张惠妹,Pop,Emotional,Medium,High
真实,张惠妹,Pop,Emotional,Medium,High
最爱的人伤我最深,张惠妹、张雨生,Pop,Romantic,Medium,Medium
原来你什么都不要,张惠妹,Pop,Emotional,Medium,High
给我一个理由忘记,A-Lin,Pop,Emotional,Medium,High
爱，请问怎么走,A-Lin,Pop,Romantic,Medium,Medium
有一种悲伤,A-Lin,Pop,Emotional,Medium,High
天若有情,A-Lin,Pop,Emotional,Medium,High
幸福在歌唱,A-Lin,Pop,Emotional,Medium,High
幸福了 然后呢,A-Lin,Pop,Emotional,Medium,High
拿走了什么,A-Lin,Pop,Emotional,Medium,High
P.S.我爱你,A-Lin,Pop,Romantic,Medium,Medium
无人知晓的我,A-Lin,Pop,Emotional,Medium,High
失恋无罪,A-Lin,Pop,Sad,Slow,Low
绕路,A-Lin,Pop,Emotional,Medium,High
挚友,A-Lin,Pop,Emotional,Medium,High
忘了,黄子弘凡、A-Lin,Pop,Emotional,Medium,High
寂寞不痛,A-Lin,Pop,Emotional,Medium,High
偏爱,张芸京,Mandopop,Romantic,Medium,Medium
说好的幸福呢,周杰伦,Mandopop,Romantic,Medium,Medium
半点心,草蜢,Mandopop,Chill,Medium,Medium
春娇与志明,街道办GDC、欧阳耀莹,Mandopop,Chill,Medium,Medium
广东爱情故事,广东雨神,Mandopop,Romantic,Medium,Medium
千千阕歌,陈慧娴,Mandopop,Chill,Medium,Medium
你瞒我瞒,陈柏宇,Mandopop,Chill,Medium,Medium
赤伶,HITA,Mandopop,Chill,Medium,Medium
虞兮叹,闻人听書_,Mandopop,Chill,Medium,Medium
辞九门回忆,邓寓君(等什么君),Mandopop,Chill,Medium,Medium
