song,artist,genre,mood,tempo,energy
Senorita,Shawn Mendes and Camila Cabello,Latin,Romantic,Medium,Medium
Treat You Better,Shawn Mendes,Pop,Romantic,Medium,Medium
Stitches,Shawn Mendes,Pop,Emotional,Medium,Medium
Memories,Maroon 5,Pop,Emotional,Medium,Low
Sugar,Maroon 5,Funk,Happy,Fast,High
Girls Like You,Maroon 5,Pop,Happy,Medium,Medium
Closer,The Chainsmokers and Halsey,Electronic,Romantic,Medium,Medium
Something Just Like This,The Chainsmokers and Coldplay,Electronic,Energetic,Fast,High
Don't Start Now,Dua Lipa,Pop,Energetic,Fast,High
New Rules,Dua Lipa,Pop,Energetic,Fast,High
Seven,Jung Kook,Pop,Romantic,Fast,High
Dynamite,BTS,K-Pop,Happy,Fast,High
Butter,BTS,K-Pop,Happy,Fast,High
Pink Venom,BLACKPINK,K-Pop,Energetic,Fast,High
How You Like That,BLACKPINK,K-Pop,Energetic,Fast,High
Ditto,NewJeans,K-Pop,Chill,Medium,Medium
OMG,NewJeans,K-Pop,Happy,Medium,Medium
Super Shy,NewJeans,K-Pop,Happy,Fast,High
七里香,周杰伦,Mandopop,Romantic,Medium,Medium
晴天,周杰伦,Mandopop,Emotional,Medium,Medium
稻香,周杰伦,Mandopop,Happy,Medium,Medium
夜曲,周杰伦,Mandopop,Dark,Medium,Medium
告白气球,周杰伦,Mandopop,Romantic,Medium,Medium
演员,薛之谦,Mandopop,Sad,Slow,Medium
绅士,薛之谦,Mandopop,Sad,Slow,Medium
年少有为,李荣浩,Mandopop,Emotional,Medium,Medium
麻雀,李荣浩,Mandopop,Emotional,Medium,Medium
平凡之路,朴树,Folk,Emotional,Medium,Medium
那些花儿,朴树,Folk,Sad,Slow,Low
像我这样的人,毛不易,Folk,Sad,Slow,Low
消愁,毛不易,Folk,Sad,Slow,Low
起风了,买辣椒也用券,Mandopop,Emotional,Medium,Medium
光年之外,G.E.M.,Mandopop,Energetic,Medium,High
泡沫,G.E.M.,Mandopop,Emotional,Slow,High
喜欢你 G.E.M.版,G.E.M.,Mandopop,Romantic,Medium,Medium
句号,G.E.M.,Mandopop,Sad,Slow,Medium
多远都要在一起,G.E.M.,Mandopop,Romantic,Medium,Medium
体面,于文文,Mandopop,Sad,Slow,Medium
后来,刘若英,Mandopop,Sad,Slow,Low
小幸运,田馥甄,Mandopop,Romantic,Medium,Medium
你就不要想起我,田馥甄,Mandopop,Sad,Slow,Medium
红色高跟鞋,蔡健雅,Mandopop,Romantic,Medium,Medium
达尔文,蔡健雅,Mandopop,Emotional,Medium,Medium
倒数,G.E.M.,Mandopop,Energetic,Fast,High
哪里都是你,队长,Mandopop,Sad,Slow,Medium
哪里都是你 队长 Remix,队长,Mandopop,Emotional,Medium,Medium
海阔天空,Beyond,Rock,Emotional,Medium,High
光辉岁月,Beyond,Rock,Energetic,Medium,High
喜欢你,Beyond,Rock,Romantic,Medium,Medium
月亮代表我的心,邓丽君,Mandopop,Romantic,Slow,Low
甜蜜蜜,邓丽君,Mandopop,Happy,Medium,Medium
告白,沈以诚,Mandopop,Romantic,Medium,Medium
失眠飞行,接个吻开一枪,Mandopop,Chill,Medium,Medium
热爱105度的你,阿肆,Mandopop,Happy,Fast,High
野狼Disco,宝石Gem,Hip-Hop,Happy,Fast,High
目不转睛,王以太,Hip-Hop,Romantic,Medium,Medium
Made in China,Higher Brothers,Hip-Hop,Energetic,Fast,High
Lover,Taylor Swift,Pop,Romantic,Slow,Low
Cardigan,Taylor Swift,Alternative,Emotional,Slow,Low
Apologize,OneRepublic,Pop,Sad,Medium,Medium
I Ain't Worried,OneRepublic,Pop,Happy,Fast,High
Take Me To Church,Hozier,Soul,Dark,Medium,High
Too Sweet,Hozier,Soul,Chill,Medium,Medium
Numb,Linkin Park,Rock,Dark,Fast,High
In The End,Linkin Park,Rock,Emotional,Fast,High
Bohemian Rhapsody,Queen,Rock,Energetic,Medium,High
Don't Stop Me Now,Queen,Rock,Happy,Fast,High
